Wall time,Step,Value
1735840893.346764,54,-7498.59033203125
1735840895.3503447,112,-6248.38232421875
1735840897.3771422,164,-6664.99169921875
1735840899.4590154,214,-6873.20654296875
1735840902.5317452,263,-6998.06591796875
1735840904.9254138,312,-7081.39208984375
1735840907.3878446,366,-7140.90771484375
1735840909.3619695,411,-7498.01171875
1735840911.4674735,460,-7775.71533203125
1735840913.861842,513,-7497.90185546875
1735840915.8670478,560,-7725.16015625
1735840917.7104461,601,-7914.48828125
1735840920.1380668,655,-7882.5029296875
1735840922.236689,705,-7855.00634765625
1735840924.0930424,750,-7997.8017578125
1735840926.0851266,799,-7810.2998046875
1735840928.3114097,849,-7791.95068359375
1735840930.3612695,898,-7914.47900390625
1735840932.3377595,943,-8024.11865234375
1735840934.297186,987,-8122.7919921875
1735840936.3397708,1031,-8212.0498046875
1735840938.693676,1082,-8179.58154296875
1735840940.691791,1128,-8149.90283203125
1735840942.5875058,1173,-8122.68212890625
1735840945.0877137,1231,-7897.6787109375
1735840946.968172,1274,-7897.607421875
1735840949.4620419,1321,-7997.5830078125
1735840952.3683102,1370,-7997.55126953125
1735840954.58627,1416,-8097.541015625
1735840956.9818866,1468,-7997.52587890625
1735840959.254011,1520,-7897.49267578125
1735840961.54575,1575,-7797.4716796875
1735840963.384917,1616,-7797.443359375
1735840966.1407416,1673,-7597.4580078125
1735840968.2756255,1723,-7697.4619140625
1735840970.8062043,1779,-7497.47021484375
1735840973.3509953,1833,-7497.5205078125
1735840975.3673267,1879,-7497.44580078125
1735840977.865401,1934,-7497.45361328125
1735840979.9174902,1979,-7397.44970703125
1735840982.7856784,2039,-7397.48681640625
1735840985.178379,2093,-7297.48193359375
1735840987.7054243,2145,-7097.48583984375
1735840989.9426742,2194,-6897.4482421875
1735840992.2339103,2247,-6897.46923828125
1735840994.3801,2297,-6897.50244140625
1735840996.7465663,2353,-6797.52734375
1735840998.9241636,2405,-6697.5390625
1735841001.15752,2458,-6597.55908203125
1735841003.382159,2507,-6797.54296875
1735841006.1057208,2560,-6797.568359375
1735841008.2769222,2608,-6797.56982421875
1735841010.527819,2660,-6797.576171875
1735841012.5084398,2704,-6797.5830078125
1735841014.845631,2758,-6797.603515625
1735841016.775713,2802,-6997.59912109375
1735841018.7205417,2845,-7197.5927734375
1735841021.7099574,2902,-6997.642578125
1735841024.615711,2961,-6897.65087890625
1735841026.80991,3008,-6997.66748046875
1735841028.7614236,3053,-7197.6220703125
1735841031.5132012,3107,-7097.60107421875
1735841034.151163,3163,-6997.654296875
1735841036.3540573,3209,-7097.6328125
1735841038.820704,3261,-6997.654296875
1735841041.4834275,3307,-7197.58251953125
1735841044.6437721,3369,-6997.5732421875
1735841047.1360028,3423,-6997.58154296875
1735841049.6884801,3478,-6997.634765625
1735841052.0625672,3534,-6797.6337890625
1735841054.5512104,3592,-6597.63525390625
1735841057.0682437,3648,-6597.6259765625
1735841059.540557,3703,-6597.6494140625
1735841062.1347024,3760,-6597.697265625
1735841064.3885994,3813,-6497.71240234375
1735841067.0170417,3874,-6197.72802734375
1735841069.4458652,3928,-6097.72314453125
1735841071.6962473,3980,-6097.7470703125
1735841074.2439167,4034,-5897.74462890625
1735841077.1220276,4094,-5797.76416015625
1735841079.7597418,4153,-5497.79052734375
1735841082.0104713,4203,-5297.78369140625
1735841084.4599776,4258,-5197.74609375
1735841087.0296686,4317,-5197.73486328125
1735841089.5831394,4375,-4897.72412109375
1735841092.3118913,4435,-4497.75146484375
1735841094.9873743,4493,-4297.744140625
1735841097.5857666,4553,-4097.71337890625
1735841100.149402,4610,-3797.734619140625
1735841102.7373378,4670,-3797.76708984375
1735841105.3190453,4728,-3597.793212890625
1735841107.5503263,4775,-3897.7880859375
1735841110.3320627,4830,-3797.782470703125
1735841113.2219467,4893,-3597.781494140625
1735841115.574913,4945,-3597.774169921875
1735841118.2505078,5001,-3497.750732421875
1735841120.8749764,5058,-3497.741455078125
1735841123.143,5109,-3497.7236328125
1735841125.3773816,5157,-3497.67236328125
1735841128.1189954,5213,-3397.656982421875
1735841130.2794719,5259,-3697.66357421875
1735841132.9049218,5318,-3597.68359375
1735841135.4254603,5375,-3397.671875
1735841138.1943169,5433,-3297.68701171875
1735841140.7424333,5490,-3297.682373046875
1735841143.2023828,5542,-3497.68994140625
1735841146.5278583,5605,-3297.721923828125
1735841148.8498695,5652,-3497.748779296875
1735841151.076239,5700,-3597.732666015625
1735841153.7931113,5756,-3697.748046875
1735841156.769277,5819,-3897.778076171875
1735841159.3188713,5874,-3897.781005859375
1735841162.0490682,5935,-3897.79248046875
1735841164.5970626,5991,-3897.79833984375
1735841167.4882767,6053,-3797.785400390625
1735841170.013961,6109,-3697.80126953125
1735841172.4591005,6164,-3597.78271484375
1735841174.974554,6221,-3597.80810546875
1735841177.716719,6272,-3797.800537109375
1735841180.178087,6322,-3797.797607421875
1735841182.8443925,6374,-3897.80810546875
1735841185.7795427,6436,-3697.795166015625
1735841188.6609557,6499,-3497.822998046875
1735841190.8109741,6547,-3497.844970703125
1735841193.6175046,6608,-3397.865966796875
1735841196.0613656,6662,-3197.8466796875
1735841198.5920384,6716,-3297.848388671875
1735841201.1720922,6774,-3297.850341796875
1735841203.7702441,6832,-3297.8193359375
1735841206.2676115,6885,-3397.79443359375
1735841209.0689707,6948,-3097.796630859375
1735841211.9417057,7008,-3197.79541015625
1735841214.3969612,7059,-3097.7880859375
1735841217.0173516,7116,-2997.819091796875
1735841219.8143272,7177,-2897.816162109375
1735841222.3669071,7226,-2897.79833984375
1735841224.7657986,7276,-2997.785400390625
1735841227.9383628,7337,-2997.784423828125
1735841230.5969326,7394,-3097.775634765625
1735841233.4904184,7458,-2997.779052734375
1735841236.554652,7521,-2897.771240234375
1735841239.6219745,7585,-2697.793701171875
1735841241.8239655,7634,-2797.75634765625
1735841244.8253834,7697,-2597.76416015625
1735841247.7761116,7758,-2397.7490234375
1735841250.2185667,7813,-2397.7412109375
1735841252.1601634,7858,-2697.7431640625
1735841254.3116992,7904,-3097.7333984375
1735841257.2396185,7966,-2897.72607421875
1735841259.746805,8018,-3097.716064453125
1735841262.787814,8077,-3097.723388671875
1735841265.534537,8128,-3097.7138671875
1735841268.2063696,8181,-3197.704345703125
1735841270.5328689,8232,-3297.72998046875
1735841272.921622,8286,-3297.7568359375
1735841275.2260394,8337,-3497.752685546875
1735841277.8929574,8393,-3697.766845703125
1735841280.9293303,8453,-3497.753173828125
1735841283.9695272,8507,-3497.7255859375
1735841286.3164725,8559,-3597.70849609375
1735841288.842245,8611,-3597.716064453125
