Wall time,Step,Value
1735825785.7377415,52,-7497.75390625
1735825787.6284454,101,-8748.275390625
1735825789.8941777,158,-9165.3447265625
1735825792.082286,215,-8123.58056640625
1735825793.9189055,262,-8498.431640625
1735825795.7461078,308,-8748.2685546875
1735825797.7511132,355,-8926.765625
1735825800.0073607,411,-8435.7685546875
1735825801.7362835,454,-8609.25390625
1735825804.1963544,509,-8498.181640625
1735825806.0930886,553,-8407.185546875
1735825807.7280254,594,-8539.6533203125
1735825809.7523327,644,-8459.5595703125
1735825811.743514,690,-8390.826171875
1735825813.7925532,738,-8497.9716796875
1735825815.9115708,790,-8279.205078125
1735825818.1932619,844,-7939.1064453125
1735825820.3978405,891,-8053.462890625
1735825822.3983953,939,-8155.85009765625
1735825824.1404939,979,-8247.9248046875
1735825826.0374377,1025,-8212.1552734375
1735825828.3287342,1082,-8179.720703125
1735825830.0593371,1125,-8150.04052734375
1735825832.2204533,1178,-8122.8486328125
1735825834.3696177,1230,-7997.818359375
1735825836.6787226,1281,-7997.81494140625
1735825838.7273018,1326,-7897.7470703125
1735825840.6708415,1370,-7797.65185546875
1735825842.491904,1413,-7997.6337890625
1735825844.4353004,1461,-7897.65380859375
1735825846.3433244,1506,-7697.63134765625
1735825848.2195315,1552,-7597.62353515625
1735825850.939976,1618,-7497.646484375
1735825853.2333775,1673,-7297.6884765625
1735825855.393294,1720,-7297.6611328125
1735825857.5275435,1767,-7297.68017578125
1735825860.5724897,1829,-6997.75927734375
1735825863.5367923,1891,-6797.77734375
1735825866.3936691,1954,-6597.865234375
1735825869.027343,2013,-6297.8720703125
1735825871.3961065,2064,-6497.876953125
1735825873.324781,2107,-6697.85546875
1735825876.1125042,2170,-6497.96826171875
1735825878.6996639,2230,-6397.98828125
1735825880.9738774,2284,-6298.0712890625
1735825883.5125797,2342,-6198.14453125
1735825886.3116868,2405,-5998.1943359375
1735825889.1429763,2465,-5998.275390625
1735825892.002155,2527,-5798.322265625
1735825894.8440738,2591,-5698.40869140625
1735825897.657914,2653,-5498.4873046875
1735825900.6900845,2718,-5398.58984375
1735825903.407729,2778,-5298.69140625
1735825905.8508618,2834,-5198.7548828125
1735825908.7298772,2893,-5098.7763671875
1735825911.4239333,2952,-4998.8740234375
1735825914.3922317,3018,-4798.9619140625
1735825916.9772446,3077,-4798.923828125
1735825919.958313,3138,-4798.98779296875
1735825922.4671118,3193,-4698.99755859375
1735825925.503274,3256,-4599.0625
1735825928.5097914,3320,-4599.0947265625
1735825931.6135373,3386,-4499.11328125
1735825934.7774107,3454,-4399.11083984375
1735825938.2274716,3517,-4399.150390625
1735825941.323832,3581,-4099.21142578125
1735825944.46356,3645,-3899.313720703125
1735825947.2762663,3707,-3899.298828125
1735825949.8438995,3763,-3799.2783203125
1735825952.994985,3831,-3499.2900390625
1735825955.9105444,3895,-3299.29541015625
1735825959.2299628,3962,-3299.31005859375
1735825962.123808,4028,-3099.32958984375
1735825964.8635268,4091,-3099.3564453125
1735825967.5033267,4152,-3199.347412109375
1735825970.217789,4213,-3199.32421875
1735825972.6617646,4270,-3199.3056640625
1735825975.6372967,4336,-2999.290771484375
1735825978.3856497,4399,-2899.289306640625
1735825981.2899132,4464,-2699.285888671875
1735825983.7638147,4520,-2799.262939453125
1735825986.5043316,4583,-2799.212646484375
1735825989.2883635,4646,-2799.250732421875
1735825992.0273192,4707,-2699.188720703125
1735825995.0225582,4773,-2599.22900390625
1735825997.7763975,4834,-2499.216064453125
1735826000.691545,4900,-2599.2060546875
1735826003.3732336,4960,-2699.171630859375
1735826005.9573495,5018,-2899.1708984375
1735826009.1014628,5086,-2799.176513671875
1735826011.5162172,5139,-2999.158447265625
1735826014.3604782,5201,-2999.14208984375
1735826016.9063523,5258,-2999.099609375
1735826019.7168593,5321,-2999.122802734375
1735826022.545374,5383,-3099.088134765625
1735826025.0351655,5441,-3199.086669921875
1735826027.5170536,5493,-3298.988525390625
1735826030.205604,5552,-3298.9482421875
1735826032.6575782,5608,-3498.926025390625
1735826035.4754055,5671,-3298.90478515625
1735826037.9687803,5727,-3498.896728515625
1735826040.5167258,5787,-3398.875244140625
1735826043.2778082,5850,-3398.84033203125
1735826046.2170727,5914,-3198.802001953125
1735826048.6815162,5969,-3398.7763671875
1735826051.1441255,6025,-3398.7607421875
1735826053.7700467,6084,-3398.7744140625
1735826056.3546097,6143,-3398.757080078125
1735826058.8048203,6200,-3398.7529296875
1735826061.8085046,6265,-3398.7587890625
1735826064.3164258,6320,-3498.7392578125
1735826067.0817502,6380,-3398.709228515625
1735826069.557119,6436,-3498.711181640625
1735826072.32388,6498,-3298.6630859375
1735826074.9140708,6556,-3398.61328125
1735826077.6939542,6619,-3098.593505859375
1735826080.4864075,6677,-3098.5546875
1735826083.0201309,6732,-3098.528564453125
1735826085.3054266,6783,-3098.463134765625
1735826088.008034,6843,-3098.457275390625
1735826090.6927621,6905,-2998.42919921875
1735826093.2646313,6964,-2898.455810546875
1735826096.18608,7026,-2798.437744140625
1735826099.0482213,7088,-2498.41015625
1735826101.747163,7147,-2698.40380859375
1735826103.9172008,7195,-2698.36083984375
1735826106.542465,7251,-2798.3642578125
1735826109.3681319,7314,-2798.35693359375
1735826111.4605122,7361,-3098.360107421875
1735826114.5148315,7424,-2898.364501953125
1735826117.2397635,7482,-2798.358642578125
1735826119.2047608,7527,-2998.3310546875
1735826121.656686,7581,-3098.306396484375
1735826124.1528854,7638,-3098.295166015625
1735826126.6675277,7695,-3098.2412109375
1735826129.20465,7752,-2998.2255859375
1735826131.6459782,7805,-3098.218505859375
1735826134.4015937,7864,-2998.211181640625
1735826136.9001112,7920,-3098.20068359375
1735826139.6072485,7976,-3198.207275390625
1735826142.2943492,8035,-3298.19970703125
1735826144.875487,8092,-3398.178466796875
1735826147.293324,8146,-3398.1650390625
1735826150.065713,8206,-3298.18798828125
1735826153.0186114,8270,-3198.16748046875
1735826155.9187753,8333,-3198.182373046875
1735826158.1294947,8382,-3298.1494140625
1735826160.8491323,8441,-3398.175048828125
1735826163.5373912,8500,-3498.17529296875
