Wall time,Step,Value
1735838356.7317758,64,-4997.73681640625
1735838359.252865,128,-6664.30322265625
1735838361.7333002,192,-7854.9033203125
1735838364.222089,256,-7892.46337890625
1735838366.7633216,320,-7914.5185546875
1735838369.355543,384,-7928.92236328125
1735838371.8628411,448,-7876.7177734375
1735838374.4471004,512,-7690.1884765625
1735838377.0503564,576,-7672.3701171875
1735838379.604154,640,-7497.96337890625
1735838382.1818926,704,-7305.69677734375
1735838384.7516415,768,-7366.39794921875
1735838387.2981288,832,-7417.36376953125
1735838389.8699958,896,-7460.7578125
1735838392.4968307,960,-7462.88232421875
1735838395.0824704,1024,-7366.53662109375
1735838397.673137,1088,-7123.103515625
1735838400.2379103,1152,-7056.9130859375
1735838402.8856914,1216,-7109.22705078125
1735838405.4335217,1280,-7155.96826171875
1735838408.0334363,1344,-7198.0615234375
1735838410.6941764,1408,-7198.09423828125
1735838413.273397,1472,-7198.13916015625
1735838415.8773499,1536,-6998.166015625
1735838418.5167294,1600,-6798.203125
1735838421.1250167,1664,-6598.21337890625
1735838423.7421966,1728,-6598.22802734375
1735838426.3483589,1792,-6398.26220703125
1735838428.9995298,1856,-6598.302734375
1735838431.6308515,1920,-6498.32080078125
1735838434.226815,1984,-6598.34912109375
1735838436.9254782,2048,-6598.388671875
1735838439.5203578,2112,-6598.41259765625
1735838442.4195015,2176,-6598.48388671875
1735838445.1357148,2240,-6598.4609375
1735838447.790165,2304,-6398.45751953125
1735838450.40706,2368,-6298.4990234375
1735838453.0547793,2432,-6098.501953125
1735838455.6675465,2496,-6298.54638671875
1735838458.3217537,2560,-6398.60986328125
1735838460.9960036,2624,-6198.63134765625
1735838463.7311575,2688,-6098.712890625
1735838466.3909345,2752,-6198.72119140625
1735838469.0335186,2816,-5798.78857421875
1735838471.7426655,2880,-5798.79345703125
1735838474.3711607,2944,-5598.8564453125
1735838477.054894,3008,-5398.86962890625
1735838479.809707,3072,-5498.92919921875
1735838482.4829378,3136,-5698.9326171875
1735838485.145902,3200,-5698.94482421875
1735838487.8513372,3264,-5598.94775390625
1735838490.5175848,3328,-5499.00634765625
1735838493.2493987,3392,-5499.0458984375
1735838496.0169022,3456,-5399.0751953125
1735838498.7124128,3520,-5199.11181640625
1735838501.4347436,3584,-5099.10107421875
1735838504.1936111,3648,-5199.11376953125
1735838506.9151645,3712,-4999.10400390625
1735838509.6298933,3776,-4799.15673828125
1735838512.381777,3840,-4799.20361328125
1735838515.0670989,3904,-4699.220703125
1735838517.8053732,3968,-4699.27197265625
1735838520.5286808,4032,-4799.2919921875
1735838523.2669313,4096,-4499.32763671875
1735838525.970926,4160,-4599.3427734375
1735838528.7349837,4224,-4699.353515625
1735838531.51798,4288,-4599.40673828125
1735838534.2115269,4352,-4499.46533203125
1735838536.93881,4416,-4599.48291015625
1735838539.722838,4480,-4499.50048828125
1735838542.3879907,4544,-4499.47900390625
1735838545.117792,4608,-4499.48779296875
1735838547.8552418,4672,-4399.49267578125
1735838550.545038,4736,-4199.56201171875
1735838553.2357767,4800,-3999.597900390625
1735838555.9402812,4864,-4099.61181640625
1735838558.6309679,4928,-4099.552734375
1735838561.3387516,4992,-3899.5791015625
1735838564.1227386,5056,-4099.56005859375
1735838566.8180337,5120,-4099.5703125
1735838569.5467765,5184,-3999.607666015625
1735838572.2720659,5248,-3699.615478515625
1735838575.0037112,5312,-3599.630615234375
1735838577.674012,5376,-3499.587646484375
1735838580.4189556,5440,-3299.596923828125
1735838583.217029,5504,-3299.6064453125
1735838585.9133322,5568,-3199.6015625
1735838588.6070573,5632,-3199.60107421875
1735838591.34147,5696,-2999.610595703125
1735838594.0005357,5760,-2999.6025390625
1735838596.7240956,5824,-2799.602783203125
1735838599.4609776,5888,-2499.595703125
1735838602.1780822,5952,-2399.564208984375
1735838604.9093268,6016,-2299.567138671875
1735838607.6898394,6080,-2199.560546875
1735838610.4297843,6144,-2199.564208984375
1735838613.169505,6208,-2199.59521484375
1735838615.9955423,6272,-2099.61572265625
1735838618.7231598,6336,-1999.61083984375
1735838621.4552193,6400,-1899.6134033203125
1735838624.177542,6464,-1899.6080322265625
1735838626.9202316,6528,-2099.612060546875
1735838629.7052736,6592,-1899.6619873046875
1735838632.5717075,6656,-1999.629638671875
1735838635.3835151,6720,-1899.5950927734375
