Wall time,Step,Value
1735823277.0827513,64,-7997.68701171875
1735823279.5833678,128,-8998.1240234375
1735823282.182997,192,-7855.72998046875
1735823284.8100245,256,-7893.2451171875
1735823287.3545065,320,-7915.14990234375
1735823289.915681,384,-7929.4189453125
1735823293.1025257,448,-7939.5517578125
1735823295.6699624,512,-7947.08349609375
1735823298.2720745,576,-7952.8876953125
1735823301.033385,640,-7498.4052734375
1735823303.6150603,704,-7498.40478515625
1735823306.1527874,768,-7542.28173828125
1735823308.722437,832,-7375.54052734375
1735823311.2944384,896,-7271.1884765625
1735823313.8975546,960,-7322.45703125
1735823316.590479,1024,-7198.5244140625
1735823319.2134771,1088,-6998.51513671875
1735823321.830802,1152,-7022.36474609375
1735823324.4063106,1216,-7077.2255859375
1735823327.0171254,1280,-7019.8349609375
1735823329.6024082,1344,-6937.32373046875
1735823332.192055,1408,-6998.58154296875
1735823334.9012685,1472,-6898.60888671875
1735823337.5190668,1536,-6998.583984375
1735823340.150699,1600,-7098.58984375
1735823342.7709348,1664,-6998.63916015625
1735823345.3972695,1728,-6898.6806640625
1735823348.0331786,1792,-6798.77734375
1735823350.7848523,1856,-6798.81640625
1735823353.491846,1920,-6498.86474609375
1735823356.1283522,1984,-6698.8515625
1735823358.805435,2048,-6698.88720703125
1735823361.4990156,2112,-6598.9033203125
1735823364.1999273,2176,-6598.90478515625
1735823366.8987315,2240,-6598.904296875
1735823369.669468,2304,-6398.96044921875
1735823372.3866282,2368,-6198.9814453125
1735823375.040302,2432,-6399.02294921875
1735823377.686258,2496,-6499.0078125
1735823380.3247428,2560,-6599.03515625
1735823383.0260234,2624,-6499.01171875
1735823385.8624308,2688,-6699.06298828125
1735823388.5397618,2752,-6599.11279296875
1735823391.237113,2816,-6599.17919921875
1735823393.9188137,2880,-6499.19287109375
1735823396.619492,2944,-6599.2197265625
1735823399.2743618,3008,-6599.2685546875
1735823402.0396092,3072,-6299.2744140625
1735823404.774239,3136,-6499.27001953125
1735823407.4675171,3200,-6799.279296875
1735823410.227778,3264,-6899.2734375
1735823412.944769,3328,-7099.28076171875
1735823415.6704955,3392,-7099.35693359375
1735823418.3899684,3456,-7099.341796875
1735823421.160977,3520,-7199.40673828125
1735823423.8475726,3584,-7399.46044921875
1735823426.5908072,3648,-7199.46533203125
1735823429.2972918,3712,-7499.447265625
1735823431.9969997,3776,-7799.4384765625
1735823434.8072953,3840,-7699.43896484375
1735823437.5617988,3904,-7699.47265625
1735823440.3170056,3968,-7599.51123046875
1735823443.047571,4032,-7599.5576171875
1735823445.8046706,4096,-7799.5712890625
1735823448.5430102,4160,-7999.58251953125
1735823451.2518344,4224,-8099.57763671875
1735823454.1149695,4288,-8299.5615234375
1735823456.8358953,4352,-8099.5927734375
1735823459.5410213,4416,-7899.5947265625
1735823462.2940378,4480,-7999.59423828125
1735823465.0542333,4544,-8199.595703125
1735823467.8985944,4608,-7999.57666015625
1735823470.7428453,4672,-7899.5634765625
1735823473.5698204,4736,-7599.56787109375
1735823476.3643851,4800,-7499.55517578125
1735823479.1307845,4864,-7599.56787109375
1735823481.8832903,4928,-7699.55517578125
1735823484.614433,4992,-7499.53369140625
1735823487.4426854,5056,-7399.5029296875
1735823490.2443094,5120,-7599.5517578125
1735823493.0456219,5184,-7399.58056640625
1735823495.8148265,5248,-7499.55224609375
1735823498.5562694,5312,-7399.55859375
1735823501.292435,5376,-7299.55224609375
1735823504.1141143,5440,-7399.5537109375
1735823506.8763351,5504,-7299.51220703125
1735823509.6856868,5568,-7199.5
1735823512.4297183,5632,-7099.51318359375
1735823515.184168,5696,-7099.49267578125
1735823517.9607291,5760,-6999.494140625
1735823520.8255405,5824,-6899.4931640625
1735823523.643615,5888,-6999.505859375
1735823526.3715525,5952,-6899.4951171875
1735823529.1257622,6016,-6899.49072265625
1735823531.8450663,6080,-6999.537109375
1735823534.574494,6144,-6999.5537109375
1735823537.37647,6208,-7299.57958984375
1735823540.1760247,6272,-7199.58251953125
1735823542.9187827,6336,-6999.5478515625
1735823545.68293,6400,-7099.5888671875
1735823548.4542613,6464,-7199.61328125
1735823551.2050164,6528,-6999.64697265625
1735823554.06614,6592,-6799.6240234375
1735823556.989184,6656,-7099.587890625
1735823559.76425,6720,-6999.5859375
1735823562.5392387,6784,-7099.58642578125
1735823565.3346944,6848,-6899.5830078125
1735823568.147847,6912,-6799.583984375
1735823570.9767778,6976,-6999.6298828125
1735823573.8501377,7040,-6999.6181640625
1735823576.6723616,7104,-7099.61376953125
1735823579.4733198,7168,-6899.64013671875
1735823582.2810612,7232,-7099.642578125
1735823585.133703,7296,-7199.63330078125
1735823587.998717,7360,-7099.62353515625
1735823590.834993,7424,-6999.6201171875
1735823593.6172361,7488,-6899.63037109375
1735823596.4628675,7552,-6999.6220703125
1735823599.2315361,7616,-6899.61181640625
1735823602.0743492,7680,-6699.60400390625
1735823604.9189017,7744,-6899.61962890625
1735823607.8174236,7808,-6799.64501953125
1735823610.5275195,7872,-6999.6044921875
1735823613.200091,7936,-7099.5498046875
1735823615.857467,8000,-7299.53173828125
1735823618.5662262,8064,-7199.5634765625
1735823621.2939916,8128,-7099.5517578125
1735823624.1718516,8192,-6999.5791015625
1735823626.867954,8256,-7199.55810546875
1735823629.5783393,8320,-7499.55029296875
1735823632.3255725,8384,-7499.5595703125
1735823634.9640198,8448,-7399.5341796875
1735823637.6686022,8512,-7299.51708984375
1735823640.54431,8576,-7299.4931640625
1735823643.3388739,8640,-7499.48291015625
1735823646.1176026,8704,-7499.48583984375
1735823648.9128776,8768,-7399.46826171875
1735823651.7429464,8832,-7599.52490234375
1735823654.5986972,8896,-7599.51513671875
1735823657.476866,8960,-7499.5263671875
1735823660.3007982,9024,-7499.50927734375
1735823663.1167073,9088,-7499.50927734375
1735823665.9704647,9152,-7299.49658203125
1735823668.7817492,9216,-6999.50634765625
1735823671.621464,9280,-6899.53662109375
1735823674.4978263,9344,-6699.5556640625
1735823677.404248,9408,-6499.60546875
1735823680.2345264,9472,-6299.6259765625
1735823683.0311098,9536,-6399.64208984375
1735823685.8302915,9600,-6299.64697265625
1735823688.6531894,9664,-6299.6728515625
1735823691.6695762,9728,-6099.69873046875
1735823694.5018358,9792,-5899.71044921875
1735823697.3554668,9856,-5699.73095703125
1735823700.2227392,9920,-5499.75
1735823703.087566,9984,-5399.76904296875
1735823705.989941,10048,-5299.79541015625
1735823708.9741213,10112,-4999.86328125
1735823711.9080284,10176,-4799.88720703125
1735823714.8013248,10240,-4499.90234375
1735823717.6804845,10304,-4199.91162109375
1735823720.6241398,10368,-3899.94921875
1735823723.6176531,10432,-3999.959716796875
1735823726.5792284,10496,-4099.96875
1735823729.5064535,10560,-3899.982177734375
1735823732.4539948,10624,-3699.99951171875
1735823735.4340363,10688,-3500.049072265625
1735823738.3667164,10752,-3400.051513671875
1735823741.370209,10816,-3400.06103515625
1735823744.27162,10880,-3200.067138671875
1735823747.2029467,10944,-3300.072509765625
1735823750.1482809,11008,-3200.070556640625
1735823753.0792356,11072,-3200.067138671875
1735823756.001791,11136,-3000.076904296875
1735823759.0601275,11200,-2900.072265625
1735823761.9652357,11264,-2600.091796875
1735823764.8928146,11328,-2400.09423828125
1735823767.790075,11392,-2500.0927734375
1735823770.7240462,11456,-2300.131591796875
1735823773.6493208,11520,-2200.110107421875
1735823776.6807444,11584,-2000.11669921875
1735823779.629438,11648,-1900.153076171875
1735823782.5381255,11712,-1900.1666259765625
1735823785.444989,11776,-1900.1583251953125
1735823788.3548453,11840,-1800.15576171875
1735823791.2360287,11904,-1900.1756591796875
1735823794.2520146,11968,-1900.17919921875
1735823797.243715,12032,-2000.1815185546875
1735823800.1721036,12096,-2100.171142578125
1735823803.096379,12160,-1800.1802978515625
1735823806.0710402,12224,-1900.17333984375
1735823809.0417452,12288,-1800.17333984375
1735823812.0487213,12352,-1900.17578125
1735823815.0350957,12416,-1900.1573486328125
1735823818.0072656,12480,-1900.1640625
1735823820.9954321,12544,-1900.1724853515625
1735823823.9448414,12608,-1800.16552734375
1735823826.9776652,12672,-1800.176513671875
1735823829.9550853,12736,-2000.198486328125
1735823833.0217683,12800,-1900.201171875
1735823835.9822152,12864,-1900.20751953125
1735823838.9742293,12928,-2000.2093505859375
1735823841.9865434,12992,-2000.2208251953125
1735823845.075254,13056,-2000.2073974609375
1735823848.0532937,13120,-2100.1923828125
1735823851.0118318,13184,-2000.19873046875
1735823854.0668511,13248,-2000.2265625
1735823857.046596,13312,-2000.2310791015625
1735823860.155357,13376,-2000.224609375
1735823863.1613634,13440,-1800.2349853515625
1735823866.105557,13504,-1900.2315673828125
1735823869.1521528,13568,-1800.2315673828125
1735823872.2001998,13632,-1900.215087890625
1735823875.2726455,13696,-2000.224609375
1735823878.4064064,13760,-1900.2232666015625
1735823881.4392917,13824,-1600.2408447265625
1735823884.4054277,13888,-1500.249755859375
1735823887.3768625,13952,-1400.2767333984375
1735823890.311538,14016,-1300.2947998046875
1735823893.314211,14080,-1300.29638671875
1735823896.3961673,14144,-1200.329833984375
1735823899.345199,14208,-1200.35546875
1735823902.3033884,14272,-1300.3564453125
1735823905.2442765,14336,-1600.3797607421875
1735823908.182755,14400,-1600.3826904296875
1735823911.209935,14464,-1600.3634033203125
1735823914.2723496,14528,-1600.3797607421875
1735823917.2433016,14592,-1700.3719482421875
1735823920.2015767,14656,-1700.3941650390625
1735823923.1902628,14720,-1700.400146484375
1735823926.1759822,14784,-1700.4219970703125
1735823929.2006154,14848,-1800.4439697265625
1735823932.2558405,14912,-1800.4560546875
1735823935.2077699,14976,-1800.4595947265625
1735823938.164528,15040,-2000.4591064453125
1735823941.1548717,15104,-2000.4561767578125
1735823944.12915,15168,-2000.461669921875
1735823947.2863772,15232,-1900.467529296875
1735823950.2556958,15296,-2000.47412109375
1735823953.234714,15360,-1800.4996337890625
1735823956.1402483,15424,-1800.507568359375
1735823959.0766718,15488,-1700.5169677734375
1735823962.1285427,15552,-1800.5234375
1735823965.1048439,15616,-1900.5198974609375
1735823968.1498492,15680,-1900.5213623046875
1735823971.072323,15744,-1900.525390625
1735823974.0044463,15808,-2000.52978515625
1735823976.9596996,15872,-2100.526611328125
1735823980.063864,15936,-2100.526611328125
1735823983.1287506,16000,-1900.524169921875
1735823986.031474,16064,-1600.5242919921875
1735823988.9747794,16128,-1600.5303955078125
1735823991.9380345,16192,-1400.5347900390625
1735823994.9723096,16256,-1400.541748046875
1735823998.152634,16320,-1300.5531005859375
1735824001.063138,16384,-1400.46533203125
1735824004.04,16448,-1800.14697265625
1735824007.0181017,16512,-1999.862060546875
1735824009.969848,16576,-2099.57421875
1735824012.8960898,16640,-2699.29443359375
1735824016.0117533,16704,-3098.986572265625
1735824018.9466057,16768,-3498.730224609375
1735824021.8856366,16832,-3898.432861328125
1735824024.866751,16896,-4298.14404296875
1735824027.7999356,16960,-4597.9013671875
1735824030.8028738,17024,-4997.5947265625
1735824033.83013,17088,-5297.287109375
1735824036.7254372,17152,-5797.03955078125
1735824039.641221,17216,-6196.77294921875
1735824042.606435,17280,-6796.51025390625
1735824045.5232868,17344,-6996.30029296875
1735824048.5919452,17408,-6996.2919921875
1735824051.5449839,17472,-6996.31298828125
1735824054.4655235,17536,-7196.34912109375
1735824057.3823256,17600,-7196.38037109375
1735824060.32343,17664,-7196.38623046875
1735824063.320479,17728,-6896.373046875
1735824066.4015372,17792,-7196.38720703125
1735824069.5888894,17856,-7096.35546875
1735824072.5234265,17920,-7196.39453125
1735824075.4985127,17984,-7196.39599609375
1735824078.4839673,18048,-7096.3662109375
1735824081.5127172,18112,-7196.36474609375
1735824084.5710306,18176,-7096.36865234375
1735824087.516336,18240,-7196.39599609375
1735824090.4927998,18304,-7296.3876953125
1735824093.4476068,18368,-7296.35986328125
1735824096.4640315,18432,-7296.34326171875
1735824099.5643063,18496,-7496.357421875
1735824102.5214045,18560,-7496.337890625
1735824105.4892347,18624,-7596.35498046875
1735824108.403649,18688,-7496.314453125
1735824111.4450684,18752,-7396.3193359375
1735824114.3758755,18816,-7196.2763671875
1735824117.4990768,18880,-7196.2646484375
1735824120.5195284,18944,-7096.26171875
1735824123.484669,19008,-6996.2744140625
1735824126.4711835,19072,-6796.25732421875
1735824129.486832,19136,-6496.24609375
1735824132.529397,19200,-6396.2314453125
1735824135.6297765,19264,-6296.22802734375
1735824138.6573234,19328,-6296.2265625
1735824141.6684582,19392,-6396.2451171875
1735824144.6673448,19456,-6196.21240234375
1735824147.677057,19520,-6096.1884765625
1735824150.8018017,19584,-6396.20703125
1735824153.8438015,19648,-6496.22802734375
1735824156.80891,19712,-6496.20654296875
1735824159.876585,19776,-6496.21044921875
1735824162.9069133,19840,-6596.22265625
1735824165.9220877,19904,-6696.21337890625
1735824169.0808427,19968,-6896.2158203125
1735824172.0603848,20032,-7096.23291015625
1735824175.1334653,20096,-7496.2568359375
1735824178.1642997,20160,-7296.23095703125
1735824181.1940446,20224,-7196.224609375
1735824184.3790555,20288,-7396.265625
1735824187.4162345,20352,-7396.28515625
1735824190.401247,20416,-7096.2685546875
1735824193.405972,20480,-6996.291015625
1735824196.4363034,20544,-6996.2998046875
1735824199.4218457,20608,-6896.27783203125
1735824202.670912,20672,-7196.3056640625
1735824205.688414,20736,-7296.34619140625
1735824208.693727,20800,-7196.31982421875
1735824211.7211032,20864,-7396.34375
1735824214.7412252,20928,-7496.3291015625
1735824217.7628286,20992,-7296.31689453125
1735824220.887545,21056,-7296.28759765625
1735824223.9033287,21120,-7396.33203125
1735824226.8639245,21184,-7296.32080078125
1735824229.910118,21248,-7296.32177734375
1735824232.9508748,21312,-7396.31396484375
1735824236.0724244,21376,-7496.330078125
1735824239.142415,21440,-7496.3369140625
1735824242.1306217,21504,-7496.345703125
1735824245.211865,21568,-7396.357421875
1735824248.2351248,21632,-7296.369140625
1735824251.3788712,21696,-7396.38720703125
1735824254.5341408,21760,-7396.39599609375
1735824257.5635192,21824,-7296.42138671875
1735824260.5665429,21888,-7296.43896484375
1735824263.653334,21952,-7096.43115234375
1735824266.7270575,22016,-6896.41455078125
1735824269.974177,22080,-6996.40966796875
1735824273.0471191,22144,-6996.40673828125
1735824276.053288,22208,-6696.3818359375
